,STN-WBAN,DATE,TEMP,DEWP,SLP,STP,MAX,MIN,PRCP
0,,20010101,,,,,,,
1,,20010102,,,,,,,
2,,20010103,,,,,,,
3,,20010104,,,,,,,
4,,20010105,,,,,,,
5,,20010106,,,,,,,
6,,20010107,,,,,,,
7,,20010108,,,,,,,
8,,20010109,,,,,,,
9,,20010110,,,,,,,
10,,20010111,,,,,,,
11,,20010112,,,,,,,
12,,20010113,,,,,,,
13,,20010114,,,,,,,
14,,20010115,,,,,,,
15,,20010116,,,,,,,
16,,20010117,,,,,,,
17,,20010118,,,,,,,
18,,20010119,,,,,,,
19,,20010120,,,,,,,
20,,20010121,,,,,,,
21,,20010122,,,,,,,
22,,20010123,,,,,,,
23,,20010124,,,,,,,
24,,20010125,,,,,,,
25,,20010126,,,,,,,
26,,20010127,,,,,,,
27,,20010128,,,,,,,
28,,20010129,,,,,,,
29,,20010130,,,,,,,
30,,20010131,,,,,,,
31,,20010201,,,,,,,
32,,20010202,,,,,,,
33,,20010203,,,,,,,
34,,20010204,,,,,,,
35,,20010205,,,,,,,
36,,20010206,,,,,,,
37,,20010207,,,,,,,
38,,20010208,,,,,,,
39,,20010209,,,,,,,
40,,20010210,,,,,,,
41,,20010211,,,,,,,
42,,20010212,,,,,,,
43,,20010213,,,,,,,
44,,20010214,,,,,,,
45,,20010215,,,,,,,
46,,20010216,,,,,,,
47,,20010217,,,,,,,
48,,20010218,,,,,,,
49,,20010219,,,,,,,
50,,20010220,,,,,,,
51,,20010221,,,,,,,
52,,20010222,,,,,,,
53,,20010223,,,,,,,
54,,20010224,,,,,,,
55,,20010225,,,,,,,
56,,20010226,,,,,,,
57,,20010227,,,,,,,
58,,20010228,,,,,,,
59,,20010301,,,,,,,
60,,20010302,,,,,,,
61,,20010303,,,,,,,
62,,20010304,,,,,,,
63,,20010305,,,,,,,
64,,20010306,,,,,,,
65,,20010307,,,,,,,
66,,20010308,,,,,,,
67,,20010309,,,,,,,
68,,20010310,,,,,,,
69,,20010311,,,,,,,
70,,20010312,,,,,,,
71,,20010313,,,,,,,
72,,20010314,,,,,,,
73,,20010315,,,,,,,
74,,20010316,,,,,,,
75,,20010317,,,,,,,
76,,20010318,,,,,,,
77,,20010319,,,,,,,
78,,20010320,,,,,,,
79,,20010321,,,,,,,
80,,20010322,,,,,,,
81,,20010323,,,,,,,
82,,20010324,,,,,,,
83,,20010325,,,,,,,
84,,20010326,,,,,,,
85,,20010327,,,,,,,
86,,20010328,,,,,,,
87,,20010329,,,,,,,
88,,20010330,,,,,,,
89,,20010331,,,,,,,
90,,20010401,,,,,,,
91,,20010402,,,,,,,
92,,20010403,,,,,,,
93,,20010404,,,,,,,
94,,20010405,,,,,,,
95,,20010406,,,,,,,
96,,20010407,,,,,,,
97,,20010408,,,,,,,
98,,20010409,,,,,,,
99,,20010410,,,,,,,
100,,20010411,,,,,,,
101,,20010412,,,,,,,
102,,20010413,,,,,,,
103,,20010414,,,,,,,
104,,20010415,,,,,,,
105,,20010416,,,,,,,
106,,20010417,,,,,,,
107,,20010418,,,,,,,
108,,20010419,,,,,,,
109,,20010420,,,,,,,
110,,20010421,,,,,,,
111,,20010422,,,,,,,
112,,20010423,,,,,,,
113,,20010424,,,,,,,
114,,20010425,,,,,,,
115,,20010426,,,,,,,
116,,20010427,,,,,,,
117,,20010428,,,,,,,
118,,20010429,,,,,,,
119,,20010430,,,,,,,
120,,20010501,,,,,,,
121,,20010502,,,,,,,
122,,20010503,,,,,,,
123,,20010504,,,,,,,
124,,20010505,,,,,,,
125,,20010506,,,,,,,
126,,20010507,,,,,,,
127,,20010508,,,,,,,
128,,20010509,,,,,,,
129,,20010510,,,,,,,
130,,20010511,,,,,,,
131,,20010512,,,,,,,
132,,20010513,,,,,,,
133,,20010514,,,,,,,
134,,20010515,,,,,,,
135,,20010516,,,,,,,
136,,20010517,,,,,,,
137,,20010518,,,,,,,
138,,20010519,,,,,,,
139,,20010520,,,,,,,
140,,20010521,,,,,,,
141,,20010522,,,,,,,
142,,20010523,,,,,,,
143,,20010524,,,,,,,
144,,20010525,,,,,,,
145,,20010526,,,,,,,
146,,20010527,,,,,,,
147,,20010528,,,,,,,
148,,20010529,,,,,,,
149,,20010530,,,,,,,
150,,20010531,,,,,,,
151,,20010601,,,,,,,
152,,20010602,,,,,,,
153,,20010603,,,,,,,
154,,20010604,,,,,,,
155,,20010605,,,,,,,
156,,20010606,,,,,,,
157,,20010607,,,,,,,
158,,20010608,,,,,,,
159,,20010609,,,,,,,
160,,20010610,,,,,,,
161,,20010611,,,,,,,
162,,20010612,,,,,,,
163,,20010613,,,,,,,
164,,20010614,,,,,,,
165,,20010615,,,,,,,
166,,20010616,,,,,,,
167,,20010617,,,,,,,
168,,20010618,,,,,,,
169,,20010619,,,,,,,
170,,20010620,,,,,,,
171,,20010621,,,,,,,
172,,20010622,,,,,,,
173,,20010623,,,,,,,
174,,20010624,,,,,,,
175,,20010625,,,,,,,
176,,20010626,,,,,,,
177,,20010627,,,,,,,
178,,20010628,,,,,,,
179,,20010629,,,,,,,
180,,20010630,,,,,,,
181,,20010701,,,,,,,
182,,20010702,,,,,,,
183,,20010703,,,,,,,
184,,20010704,,,,,,,
185,,20010705,,,,,,,
186,,20010706,,,,,,,
187,,20010707,,,,,,,
188,,20010708,,,,,,,
189,,20010709,,,,,,,
190,,20010710,,,,,,,
191,,20010711,,,,,,,
192,,20010712,,,,,,,
193,,20010713,,,,,,,
194,,20010714,,,,,,,
195,,20010715,,,,,,,
196,,20010716,,,,,,,
197,,20010717,,,,,,,
198,,20010718,,,,,,,
199,,20010719,,,,,,,
200,,20010720,,,,,,,
201,,20010721,,,,,,,
202,,20010722,,,,,,,
203,,20010723,,,,,,,
204,,20010724,,,,,,,
205,,20010725,,,,,,,
206,,20010726,,,,,,,
207,,20010727,,,,,,,
208,,20010728,,,,,,,
209,,20010729,,,,,,,
210,,20010730,,,,,,,
211,,20010731,,,,,,,
212,,20010801,,,,,,,
213,,20010802,,,,,,,
214,,20010803,,,,,,,
215,,20010804,,,,,,,
216,,20010805,,,,,,,
217,,20010806,,,,,,,
218,,20010807,,,,,,,
219,,20010808,,,,,,,
220,,20010809,,,,,,,
221,,20010810,,,,,,,
222,,20010811,,,,,,,
223,,20010812,,,,,,,
224,,20010813,,,,,,,
225,,20010814,,,,,,,
226,,20010815,,,,,,,
227,,20010816,,,,,,,
228,,20010817,,,,,,,
229,,20010818,,,,,,,
230,,20010819,,,,,,,
231,,20010820,,,,,,,
232,,20010821,,,,,,,
233,,20010822,,,,,,,
234,,20010823,,,,,,,
235,,20010824,,,,,,,
236,,20010825,,,,,,,
237,,20010826,,,,,,,
238,,20010827,,,,,,,
239,,20010828,,,,,,,
240,,20010829,,,,,,,
241,,20010830,,,,,,,
242,,20010831,,,,,,,
243,,20010901,,,,,,,
244,,20010902,,,,,,,
245,,20010903,,,,,,,
246,,20010904,,,,,,,
247,,20010905,,,,,,,
248,,20010906,,,,,,,
249,,20010907,,,,,,,
250,,20010908,,,,,,,
251,,20010909,,,,,,,
252,,20010910,,,,,,,
253,,20010911,,,,,,,
254,,20010912,,,,,,,
255,,20010913,,,,,,,
256,,20010914,,,,,,,
257,,20010915,,,,,,,
258,,20010916,,,,,,,
259,,20010917,,,,,,,
260,,20010918,,,,,,,
261,,20010919,,,,,,,
262,,20010920,,,,,,,
263,,20010921,,,,,,,
264,,20010922,,,,,,,
265,,20010923,,,,,,,
266,,20010924,,,,,,,
267,,20010925,,,,,,,
268,,20010926,,,,,,,
269,,20010927,,,,,,,
270,,20010928,,,,,,,
271,,20010929,,,,,,,
272,,20010930,,,,,,,
273,,20011001,,,,,,,
274,,20011002,,,,,,,
275,,20011003,,,,,,,
276,,20011004,,,,,,,
277,,20011005,,,,,,,
278,,20011006,,,,,,,
279,,20011007,,,,,,,
280,,20011008,,,,,,,
281,,20011009,,,,,,,
282,,20011010,,,,,,,
283,,20011011,,,,,,,
284,,20011012,,,,,,,
285,,20011013,,,,,,,
286,,20011014,,,,,,,
287,,20011015,,,,,,,
288,,20011016,,,,,,,
289,,20011017,,,,,,,
290,,20011018,,,,,,,
291,,20011019,,,,,,,
292,,20011020,,,,,,,
293,,20011021,,,,,,,
294,,20011022,,,,,,,
295,,20011023,,,,,,,
296,,20011024,,,,,,,
297,,20011025,,,,,,,
298,,20011026,,,,,,,
299,,20011027,,,,,,,
300,,20011028,,,,,,,
301,,20011029,,,,,,,
302,,20011030,,,,,,,
303,,20011031,,,,,,,
304,,20011101,,,,,,,
305,,20011102,,,,,,,
306,,20011103,,,,,,,
307,,20011104,,,,,,,
308,,20011105,,,,,,,
309,,20011106,,,,,,,
310,,20011107,,,,,,,
311,,20011108,,,,,,,
312,,20011109,,,,,,,
313,,20011110,,,,,,,
314,,20011111,,,,,,,
315,,20011112,,,,,,,
316,,20011113,,,,,,,
317,,20011114,,,,,,,
318,,20011115,,,,,,,
319,,20011116,,,,,,,
320,,20011117,,,,,,,
321,,20011118,,,,,,,
322,,20011119,,,,,,,
323,,20011120,,,,,,,
324,,20011121,,,,,,,
325,,20011122,,,,,,,
326,,20011123,,,,,,,
327,,20011124,,,,,,,
328,,20011125,,,,,,,
329,,20011126,,,,,,,
330,,20011127,,,,,,,
331,,20011128,,,,,,,
332,,20011129,,,,,,,
333,,20011130,,,,,,,
334,,20011201,,,,,,,
335,,20011202,,,,,,,
336,,20011203,,,,,,,
337,,20011204,,,,,,,
338,,20011205,,,,,,,
339,,20011206,,,,,,,
340,,20011207,,,,,,,
341,,20011208,,,,,,,
342,,20011209,,,,,,,
343,,20011210,,,,,,,
344,,20011211,,,,,,,
345,,20011212,,,,,,,
346,,20011213,,,,,,,
347,,20011214,,,,,,,
348,,20011215,,,,,,,
349,,20011216,,,,,,,
350,,20011217,,,,,,,
351,,20011218,,,,,,,
352,,20011219,,,,,,,
353,,20011220,,,,,,,
354,,20011221,,,,,,,
355,,20011222,,,,,,,
356,,20011223,,,,,,,
357,,20011224,,,,,,,
358,,20011225,,,,,,,
359,,20011226,,,,,,,
360,,20011227,,,,,,,
361,,20011228,,,,,,,
362,,20011229,,,,,,,
363,,20011230,,,,,,,
364,,20011231,,,,,,,
365,,20020101,,,,,,,
366,,20020102,,,,,,,
367,,20020103,,,,,,,
368,,20020104,,,,,,,
369,,20020105,,,,,,,
370,,20020106,,,,,,,
371,,20020107,,,,,,,
372,,20020108,,,,,,,
373,,20020109,,,,,,,
374,,20020110,,,,,,,
375,,20020111,,,,,,,
376,,20020112,,,,,,,
377,,20020113,,,,,,,
378,,20020114,,,,,,,
379,,20020115,,,,,,,
380,,20020116,,,,,,,
381,,20020117,,,,,,,
382,,20020118,,,,,,,
383,,20020119,,,,,,,
384,,20020120,,,,,,,
385,,20020121,,,,,,,
386,,20020122,,,,,,,
387,,20020123,,,,,,,
388,,20020124,,,,,,,
389,,20020125,,,,,,,
390,,20020126,,,,,,,
391,,20020127,,,,,,,
392,,20020128,,,,,,,
393,,20020129,,,,,,,
394,,20020130,,,,,,,
395,,20020131,,,,,,,
396,,20020201,,,,,,,
397,,20020202,,,,,,,
398,,20020203,,,,,,,
399,,20020204,,,,,,,
400,,20020205,,,,,,,
401,,20020206,,,,,,,
402,,20020207,,,,,,,
403,,20020208,,,,,,,
404,,20020209,,,,,,,
405,,20020210,,,,,,,
406,,20020211,,,,,,,
407,,20020212,,,,,,,
408,,20020213,,,,,,,
409,,20020214,,,,,,,
410,,20020215,,,,,,,
411,,20020216,,,,,,,
412,,20020217,,,,,,,
413,,20020218,,,,,,,
414,,20020219,,,,,,,
415,,20020220,,,,,,,
416,,20020221,,,,,,,
417,,20020222,,,,,,,
418,,20020223,,,,,,,
419,,20020224,,,,,,,
420,,20020225,,,,,,,
421,,20020226,,,,,,,
422,,20020227,,,,,,,
423,,20020228,,,,,,,
424,,20020301,,,,,,,
425,,20020302,,,,,,,
426,,20020303,,,,,,,
427,,20020304,,,,,,,
428,,20020305,,,,,,,
429,,20020306,,,,,,,
430,,20020307,,,,,,,
431,,20020308,,,,,,,
432,,20020309,,,,,,,
433,,20020310,,,,,,,
434,,20020311,,,,,,,
435,,20020312,,,,,,,
436,,20020313,,,,,,,
437,,20020314,,,,,,,
438,,20020315,,,,,,,
439,,20020316,,,,,,,
440,,20020317,,,,,,,
441,,20020318,,,,,,,
442,,20020319,,,,,,,
443,,20020320,,,,,,,
444,,20020321,,,,,,,
445,,20020322,,,,,,,
446,,20020323,,,,,,,
447,,20020324,,,,,,,
448,,20020325,,,,,,,
449,,20020326,,,,,,,
450,,20020327,,,,,,,
451,,20020328,,,,,,,
452,,20020329,,,,,,,
453,,20020330,,,,,,,
454,,20020331,,,,,,,
455,,20020401,,,,,,,
456,,20020402,,,,,,,
457,,20020403,,,,,,,
458,,20020404,,,,,,,
459,,20020405,,,,,,,
460,,20020406,,,,,,,
461,,20020407,,,,,,,
462,,20020408,,,,,,,
463,,20020409,,,,,,,
464,,20020410,,,,,,,
465,,20020411,,,,,,,
466,,20020412,,,,,,,
467,,20020413,,,,,,,
468,,20020414,,,,,,,
469,,20020415,,,,,,,
470,,20020416,,,,,,,
471,,20020417,,,,,,,
472,,20020418,,,,,,,
473,,20020419,,,,,,,
474,,20020420,,,,,,,
475,,20020421,,,,,,,
476,,20020422,,,,,,,
477,,20020423,,,,,,,
478,,20020424,,,,,,,
479,,20020425,,,,,,,
480,,20020426,,,,,,,
481,,20020427,,,,,,,
482,,20020428,,,,,,,
483,,20020429,,,,,,,
484,,20020430,,,,,,,
485,,20020501,,,,,,,
486,,20020502,,,,,,,
487,,20020503,,,,,,,
488,,20020504,,,,,,,
489,,20020505,,,,,,,
490,,20020506,,,,,,,
491,,20020507,,,,,,,
492,,20020508,,,,,,,
493,,20020509,,,,,,,
494,,20020510,,,,,,,
495,,20020511,,,,,,,
496,,20020512,,,,,,,
497,,20020513,,,,,,,
498,,20020514,,,,,,,
499,,20020515,,,,,,,
500,,20020516,,,,,,,
501,,20020517,,,,,,,
502,,20020518,,,,,,,
503,,20020519,,,,,,,
504,,20020520,,,,,,,
505,,20020521,,,,,,,
506,,20020522,,,,,,,
507,,20020523,,,,,,,
508,,20020524,,,,,,,
509,,20020525,,,,,,,
510,,20020526,,,,,,,
511,,20020527,,,,,,,
512,,20020528,,,,,,,
513,,20020529,,,,,,,
514,,20020530,,,,,,,
515,,20020531,,,,,,,
516,,20020601,,,,,,,
517,,20020602,,,,,,,
518,,20020603,,,,,,,
519,,20020604,,,,,,,
520,,20020605,,,,,,,
521,,20020606,,,,,,,
